key,name,comment,definition,category,tags,units,link_key,sensitivity,display_type,should_display,value_type,query_type,use_in_persona,persona_tags,in_{region}s,in_usa,adword_identifier,source_id,primary,utility,attribute_type,should_feature,can_query,attribute_bucket_id,use_in_lookalikes
{region}.com.{client}.predictive.product_recommended_color,Product Recommended Color,The product the individual is most likely to next purchase based on their past behaviour,This data is calculated based on the customer's transaction history,consumer,"Predictive, Category, Product, Recommended, Color",,,low,string,TRUE,string,optionlist,FALSE,,{TRUE OR FALSE},{TRUE OR FALSE},000015,173,FALSE,FALSE,products,FALSE,TRUE,,FALSE
{region}.com.{client}.predictive.product_recommended_brand,Product Recommended Brand,The product the individual is most likely to next purchase based on their past behaviour,This data is calculated based on the customer's transaction history,consumer,"Predictive, Category, Product, Recommended, Brand",,,low,string,TRUE,string,optionlist,FALSE,,{TRUE OR FALSE},{TRUE OR FALSE},000015,173,FALSE,FALSE,products,FALSE,TRUE,,FALSE
{region}.com.{client}.predictive.product_recommended_sku,Product Recommended SKU,The product the individual is most likely to next purchase based on their past behaviour,This data is calculated based on the customer's transaction history,consumer,"Predictive, Category, Product, Recommended, SKU",,,low,string,TRUE,string,optionlist,FALSE,,{TRUE OR FALSE},{TRUE OR FALSE},000015,173,FALSE,FALSE,products,FALSE,TRUE,,FALSE
{region}.com.{client}.predictive.product_recommended_upc,Product Recommended UPC,The product the individual is most likely to next purchase based on their past behaviour,This data is calculated based on the customer's transaction history,consumer,"Predictive, Category, Product, Recommended, UPC",,,low,string,TRUE,string,optionlist,FALSE,,{TRUE OR FALSE},{TRUE OR FALSE},000015,173,FALSE,FALSE,products,FALSE,TRUE,,FALSE
{region}.com.{client}.predictive.product_recommended_size,Product Recommended Size,The product the individual is most likely to next purchase based on their past behaviour,This data is calculated based on the customer's transaction history,consumer,"Predictive, Category, Product, Recommended, Size",,,low,string,TRUE,string,optionlist,FALSE,,{TRUE OR FALSE},{TRUE OR FALSE},000015,173,FALSE,FALSE,products,FALSE,TRUE,,FALSE
{region}.com.{client}.predictive.product_recommended_name,Product Recommended Name,The product the individual is most likely to next purchase based on their past behaviour,This data is calculated based on the customer's transaction history,consumer,"Predictive, Category, Product, Recommended, Name",,,low,string,TRUE,string,optionlist,FALSE,,{TRUE OR FALSE},{TRUE OR FALSE},000015,173,FALSE,FALSE,products,FALSE,TRUE,,FALSE
{region}.com.{client}.predictive.product_recommended_product_id,Product Recommended Product ID,The product the individual is most likely to next purchase based on their past behaviour,This data is calculated based on the customer's transaction history,consumer,"Predictive, Category, Product, Recommended, Product ID",,,low,string,TRUE,string,optionlist,FALSE,,{TRUE OR FALSE},{TRUE OR FALSE},000015,173,FALSE,FALSE,products,FALSE,TRUE,,FALSE
{region}.com.{client}.predictive.predicted_aov_next_year,Predicted Order Value,Customer's predicted future order value in the next 12 months based on their historic purchases,This data is calculated based on the customer's transaction history,Cultural,"Predictive, Transaction, Orders, Order Value",dollars,,,string,TRUE,float,range,TRUE,,{TRUE OR FALSE},{TRUE OR FALSE},000015,173,FALSE,FALSE,currency,FALSE,TRUE,,TRUE
{region}.com.{client}.predictive.predicted_spend_next_year,Predicted Spend,Customer's predicted spend in the next 12 months based on their historic purchases,This data is calculated based on the customer's transaction history,Cultural,"Predictive, Transaction, Spend, Orders",dollars,,,string,TRUE,float,range,TRUE,,{TRUE OR FALSE},{TRUE OR FALSE},000015,173,FALSE,FALSE,currency,FALSE,TRUE,,TRUE
{region}.com.{client}.predictive.predicted_orders_next_year,Predicted Orders,Customer's predicted number of orders in the next 12 months based on their historic purchases,This data is calculated based on the customer's transaction history,Cultural,"Predictive, Transaction, Orders, Predicted",orders,,,string,TRUE,integer,range,TRUE,,{TRUE OR FALSE},{TRUE OR FALSE},000015,173,FALSE,FALSE,integer,FALSE,TRUE,,TRUE
{region}.com.{client}.predictive.predicted_churn_flag,Predicted Churn Risk,Customer's likelihood of churning based on their historic purchases,This data is calculated based on the customer's transaction history,Cultural,"Predictive, Transaction, Purchases, Churn, Risk",,,,string,TRUE,string,optionlist,TRUE,,{TRUE OR FALSE},{TRUE OR FALSE},000015,173,FALSE,FALSE,list,FALSE,TRUE,,TRUE
